nome,tipo_1,tipo_2,hp,attack,defense,special_attack,special_defense,speed,dex_entry,cluster,cluster_nome,cluster_descricao,dex_entry_tratada
bulbasaur,grass,poison,45,49,49,65,65,45,"While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow. Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger. It carries a seed on its back right from birth. As it grows older, the seed also grows larger. There is a plant seed on its back right from the day this POKéMON is born. The seed slowly grows larger. A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon. For some time after its birth, it grows by gaining nourishment from the seed on its back. While it is young, it uses the nutrients that are stored in the seed on its back in order to grow. A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON. The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows. There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger. It can go for days without eating a single morsel. In the bulb on its back, it stores energy. BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",1,Equilibrado,"Pokémon equilibrados. Possuem atributos médios e consistentes, sem fraquezas gritantes. Costumam ser pokemons em fases iniciais de evolução.",young use nutrient store seed back order grow bulbasaur seen nap bright sunlight seed back soak sun ray seed grow progress larger carri seed back right birth grow older seed also grow larger plant seed back right day pokemon born seed slowli grow larger strang seed plant back birth plant sprout grow pokemon time birth grow gain nourish seed back young use nutrient store seed back order grow strang seed plant back birth plant sprout grow pokemon seed back fill nutrient seed grow steadili larger bodi grow plant seed back right day pokemon born seed slowli grow larger go day without eat singl morsel bulb back store energi bulbasaur seen nap bright sunlight seed back soak sun ray seed grow progress larger
ivysaur,grass,poison,60,62,63,80,80,60,"The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms. When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs. There is a bud on this POKéMON’s back. To support its weight, IVYSAUR’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon. When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom. The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom. If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom. Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger. There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower. There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon. The bud on its back grows by drawing energy. It gives off an aroma when it is ready to bloom. To support its bulb, IVYSAUR’s legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower. Exposure to sun­ light adds to its strength. Sunlight also makes the bud on its back grow larger.",1,Equilibrado,"Pokémon equilibrados. Possuem atributos médios e consistentes, sem fraquezas gritantes. Costumam ser pokemons em fases iniciais de evolução.",bulb back grow absorb nutrient bulb give pleasant aroma bloom bulb back grow larg appear lose abil stand hind leg bud pokemon back support weight ivysaur leg trunk grow thick strong start spend time lie sunlight sign bud bloom larg flower soon bud back start swell sweet aroma waft indic flower come bloom bulb back grow draw energi give aroma readi bloom bud back start smell sweet evid larg flower soon bloom exposur sunlight add strength sunlight also make bud back grow larger plant bulb back absorb nutrient bulb said blossom larg flower bud pokemon back support weight ivysaur leg trunk grow thick strong start spend time lie sunlight sign bud bloom larg flower soon bud back grow draw energi give aroma readi bloom support bulb ivysaur leg grow sturdi spend time lie sunlight bud soon bloom larg flower exposur sun light add strength sunlight also make bud back grow larger
venusaur,grass,poison,80,82,83,100,100,80,"The flower on its back catches the sun's rays. The sunlight is then absorbed and used for energy. There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people. Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight. By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power. It is able to con­ vert sunlight into energy. As a result, it is more powerful in the summertime. VENUSAUR’s flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people. A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle. The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy. As it warms it­ self and absorbs the sunlight, its flower petals release a pleasant fragrance. There is a large flower on VENUSAUR’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people. The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight. After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon. It is able to convert sunlight into energy. As a result, it is more powerful in the summertime. By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power.",2,Colosso de Vitalidade,Os pesos-pesados. Destacam-se pelo HP altíssimo e grande resistência a danos especiais. Possuem os restantes dos atributos médios/altos.,flower back catch sun ray sunlight absorb use energi larg flower venusaur back flower said take vivid color get plenti nutrit sunlight flower aroma sooth emot peopl plant bloom absorb solar energi stay move seek sunlight spread broad petal flower catch sun ray fill bodi power abl con vert sunlight energi result power summertim venusaur flower said take vivid color get plenti nutrit sunlight flower aroma sooth emot peopl bewitch aroma waft flower fragranc becalm engag battl flower back catch sun ray sunlight absorb use energi warm self absorb sunlight flower petal releas pleasant fragranc larg flower venusaur back flower said take vivid color get plenti nutrit sunlight flower aroma sooth emot peopl plant bloom absorb solar energi stay move seek sunlight raini day flower back smell stronger scent attract pokemon abl convert sunlight energi result power summertim spread broad petal flower catch sun ray fill bodi power
charmander,fire,,39,52,43,60,50,65,"The flame on its tail indicates CHARMANDER’s life force. If it is healthy, the flame burns brightly. The flame on its tail indicates CHARMANDER's life force. If it is healthy, the flame burns brightly. The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places. The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely. The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly. If it's healthy, the flame on the tip of its tail will burn vigor­ ously, even if it gets a bit wet. The flame on its tail indicates Charmander’s life force. If it is healthy, the flame burns brightly. From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out. Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail. It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail. The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely. The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is happy, and blazes when it is enraged. The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is enjoying itself. If the POKéMON becomes enraged, the flame burns fiercely.",3,Básico,"Estágios primários de evolução. Possuem potencial de crescimento, mas atributos base baixos.",flame tail indic charmand life forc healthi flame burn bright flame tail indic charmand life forc healthi flame burn bright flame tip tail make sound burn hear quiet place fire tip tail measur life healthi tail burn intens flame tail show strength life forc weak flame also burn weak healthi flame tip tail burn vigor ousli even get bit wet flame tail indic charmand life forc healthi flame burn bright time born flame burn tip tail life would end flame go obvious prefer hot place rain steam said spout tip tail prefer hot thing rain steam said spout tip tail flame burn tip tail indic emot flame waver charmand enjoy pokemon becom enrag flame burn fierc flame burn tip tail indic emot flame waver charmand happi blaze enrag flame burn tip tail indic emot flame waver charmand enjoy pokemon becom enrag flame burn fierc
charmeleon,fire,,58,64,58,80,65,80,"CHARMELEON mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color. When it swings its burning tail, it elevates the temperature to unbearably high levels. It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws. It is very hotheaded by nature, so it constantly seeks opponents. It calms down only when it wins. Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color. In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars. Tough fights could excite this POKéMON. When excited, it may blow out bluish- white flames. It is very hot­ headed by nature, so it constantly seeks opponents. It calms down only when it wins. Without pity, its sharp claws destroy foes. If it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color. If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings. It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws. When it swings its burning tail, it elevates the air temperature to  unbearably high levels. In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars. Tough fights could excite this Pokémon. When excited, it may breathe out bluish-white flames. When it swings its burning tail, it elevates the air temperature to unbearably high levels.",4,Atacante de Elite,Focados em finalizar batalhas. Combinam alta velocidade com grande poder de ataque e ataque especial.,charmeleon merciless destroy foe use sharp claw encount strong foe turn aggress excit state flame tip tail flare bluish white color swing burn tail elev temperatur unbear high level barbar natur battl whip fieri tail around slash away sharp claw hothead natur constant seek oppon calm win charmeleon merciless destroy foe use sharp claw encount strong foe turn aggress excit state flame tip tail flare bluish white color rocki mountain charmeleon live fieri tail shine night like star tough fight could excit pokemon excit may blow bluish white flame hot head natur constant seek oppon calm win without piti sharp claw destroy foe encount strong enemi becom agit flame tail flare bluish white color becom agit battl spout intens flame inciner surround lash tail knock foe tear fallen oppon sharp claw swing burn tail elev air temperatur unbear high level rocki mountain charmeleon live fieri tail shine night like star tough fight could excit pokemon excit may breath bluish white flame swing burn tail elev air temperatur unbear high level
charizard,fire,flying,78,84,78,109,85,100,"It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles. It uses its wings to fly high. The temperature of its fire increases as it gains exper­ ience in battle. If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade. Breathing intense, hot flames, it can melt almost any­ thing. Its breath inflicts terrible pain on enemies. When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely. When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely. If CHARIZARD be­ comes furious, the flame at the tip of its tail flares up in a whitish- blue color. A CHARIZARD flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe. Breathing intense, hot flames, it can melt almost anything. Its breath inflicts terrible pain on enemies. Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally. CHARIZARD flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself. Its wings can carry this POKéMON close to an altitude of 4,600 feet. It blows out fire at very high temperatures. It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames. Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures. When this Pokémon expels a blast of superhot fire, the red flame at the tip of its tail burns more intensely. It is said that Charizard’s fire burns hotter if it has experienced harsh battles. Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",4,Atacante de Elite,Focados em finalizar batalhas. Combinam alta velocidade com grande poder de ataque e ataque especial.,said charizard fire burn hotter experienc harsh battl use wing fli high temperatur fire increas gain exper ienc battl charizard becom furious flame tip tail flare light blue shade breath intens hot flame melt almost thing breath inflict terribl pain enemi expel blast super hot fire red flame tip tail burn intens expel blast superhot fire red flame tip tail burn intens charizard come furious flame tip tail flare whitish blue color charizard fli search strong oppon breath intens flame melt materi howev never torch weaker foe breath intens hot flame melt almost anyth breath inflict terribl pain enemi spit fire hot enough melt boulder known caus forest fire unintent charizard fli around sky search power oppon breath fire great heat melt anyth howev never turn fieri breath oppon weaker wing carri pokemon close altitud feet blow fire high temperatur spit fire hot enough melt boulder may caus forest fire blow flame wing carri pokemon close altitud feet blow fire high temperatur pokemon expel blast superhot fire red flame tip tail burn intens said charizard fire burn hotter experienc harsh battl charizard fli around sky search power oppon breath fire great heat melt anyth howev never turn fieri breath oppon weaker
squirtle,water,,44,48,65,50,64,43,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity. The shell is soft when it is born. It soon becomes so resilient, prod­ ding fingers will bounce off it. After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth. When it retracts its long neck into its shell, it squirts out water with vigorous force. Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds. Shoots water at prey while in the water. Withdraws into its shell when in danger. SQUIRTLE’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this POKéMON to swim at high speeds. After birth, its back swells and hardens into a shell. It powerfully sprays foam  from its mouth. The shell is soft when it is born. It soon becomes so resilient, prodding fingers will bounce off it. The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out. When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth. It shelters itself in its shell then strikes back with spouts of water at every opportunity. Its shell is not just for protection. Its rounded shape and the grooves on its surface minimize resistance in water, enabling SQUIRTLE to swim at high speeds. When it feels threatened, it draws its legs inside its shell and sprays water from its mouth.",1,Equilibrado,"Pokémon equilibrados. Possuem atributos médios e consistentes, sem fraquezas gritantes. Costumam ser pokemons em fases iniciais de evolução.",shelter shell strike back spout water everi opportun shell soft born soon becom resili prod ding finger bounc birth back swell harden shell power spray foam mouth retract long neck shell squirt water vigor forc squirtl shell mere use protect shell round shape groov surfac help minim resist water enabl pokemon swim high speed shoot water prey water withdraw shell danger squirtl shell mere use protect shell round shape groov surfac help minim resist water enabl pokemon swim high speed birth back swell harden shell power spray foam mouth shell soft born soon becom resili prod finger bounc shell harden soon born resili poke bounc back feel threaten draw limb insid shell spray water mouth shelter shell strike back spout water everi opportun shell protect round shape groov surfac minim resist water enabl squirtl swim high speed feel threaten draw leg insid shell spray water mouth
wartortle,water,,59,63,80,65,80,58,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as WARTORTLE ages. The scratches on its shell are evidence of this POKéMON’s toughness as a battler. It cleverly con­ trols its furry ears and tail to maintain its balance while swimming. This POKéMON is very popular as a pet. Its fur-covered tail is a symbol of its longevity. It cleverly controls its furry ears and tail to maintain its balance while swimming. Its long, furry tail is a symbol of longevity, making it quite popular among older people. Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance. Its large tail is covered with rich, thick fur that deepens in color with age. The scratches on its shell are evidence of this POKéMON’s toughness in battle. It is a well-established symbol of longevity. If its shell has algae on it, that WARTORTLE is very old. It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old. It often hides in water to stalk unwary prey. For fast swimming, it moves its ears to maintain balance. It is recognized as a symbol of longevity. If its shell has algae on it, that WARTORTLE is very old. When tapped, this Pokémon will pull in its head, but its tail will still stick out a little bit. When tapped on its head, this Pokémon will pull it in, but its tail will still stick out a little bit. It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity. Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler. When tapped, this POKéMON will pull in its head, but its tail will still stick out a little bit.",1,Equilibrado,"Pokémon equilibrados. Possuem atributos médios e consistentes, sem fraquezas gritantes. Costumam ser pokemons em fases iniciais de evolução.",tail larg cover rich thick fur tail becom increas deeper color wartortl age scratch shell evid pokemon tough battler clever con trol furri ear tail maintain balanc swim pokemon popular pet fur cover tail symbol longev clever control furri ear tail maintain balanc swim long furri tail symbol longev make quit popular among older peopl often hide water stalk unwari prey swim fast move ear maintain balanc larg tail cover rich thick fur deepen color age scratch shell evid pokemon tough battl well establish symbol longev shell alga wartortl old recogn symbol longev shell alga wartortl old often hide water stalk unwari prey fast swim move ear maintain balanc recogn symbol longev shell alga wartortl old tap pokemon pull head tail still stick littl bit tap head pokemon pull tail still stick littl bit said live year furri tail popular symbol longev tail larg cover rich thick fur tail becom increas deeper color wartortl age scratch shell evid pokemon tough battler tap pokemon pull head tail still stick littl bit
blastoise,water,,79,83,100,85,105,78,"The rocket cannons on its shell fire jets of water capable of punch­ ing holes through thick steel. The jets of water it spouts from the rocket cannons on its shell can punch through thick steel. It deliberately makes itself heavy so it can with­ stand the recoil of the water jets it fires. The rocket cannons on its shell fire jets of water capable of punching holes through thick steel. It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell. BLASTOISE has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet. The pressurized water jets on this brutal POKéMON’s shell are used for high- speed tackles. The pressurized water jets on this brutal Pokémon’s shell are used for high-speed tackles. It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires. A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles. The waterspouts that protrude from its shell are highly accurate. Their bullets of water can precisely nail tin cans from a distance of over 160 feet. Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet. It firmly plants its feet on the ground before shooting water from the jets on its back. Once it takes aim at its enemy, it blasts out water with even more force than a fire hose.",2,Colosso de Vitalidade,Os pesos-pesados. Destacam-se pelo HP altíssimo e grande resistência a danos especiais. Possuem os restantes dos atributos médios/altos.,rocket cannon shell fire jet water capabl punch ing hole thick steel jet water spout rocket cannon shell punch thick steel deliber make heavi stand recoil water jet fire rocket cannon shell fire jet water capabl punch hole thick steel crush foe heavi bodi caus faint pinch withdraw insid shell blastois water spout protrud shell water spout accur shoot bullet water enough accuraci strike empti can distanc feet pressur water jet brutal pokemon shell use high speed tackl pressur water jet brutal pokemon shell use high speed tackl deliber make heavi withstand recoil water jet fire brutal pokemon pressur water jet shell use high speed tackl waterspout protrud shell high accur bullet water precis nail tin can distanc feet blastois water spout protrud shell water spout accur shoot bullet water enough accuraci strike empti can distanc feet firm plant feet ground shoot water jet back take aim enemi blast water even forc fire hose
caterpie,bug,,45,30,35,20,20,45,"Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage. Its voracious appetite compels it to devour leaves bigger than itself without hesitation. It releases a terribly strong odor from its antennae. For protection, it releases a horrible stench from the antenna on its head to drive away enemies. It’s easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokémon Trainers. If you touch the feeler on top of its head, it will release a horrible stink to protect itself. Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls. When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey. Its body is soft and weak. In nature, its perpetual fate is to be seen by others as food. It crawls into foliage where it camouflages itself among leaves that are the same color as its body. For protection, it releases a horrible stench from the antennae on its head to drive away enemies. It is covered with a green skin. When it grows, it sheds the skin, covers itself with silk, and becomes a cocoon. Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day. For protection, it releases a horri­ ble stench from the antenna on its head to drive away enemies. CATERPIE has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this POKéMON releases a terrifically strong odor. It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly. Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",3,Básico,"Estágios primários de evolução. Possuem potencial de crescimento, mas atributos base baixos.",feet suction cup design stick surfac tenaci climb tree forag voraci appetit compel devour leav bigger without hesit releas terribl strong odor antenna protect releas horribl stench antenna head drive away enemi easi catch grow quick make one top recommend novic pokemon trainer touch feeler top head releas horribl stink protect short feet tip suction pad enabl tireless climb slope wall attack bird pokemon resist releas terrif strong odor antenna often becom prey bodi soft weak natur perpetu fate seen other food crawl foliag camouflag among leav color bodi protect releas horribl stench antenna head drive away enemi cover green skin grow shed skin cover silk becom cocoon perhap would like grow quick voraci appetit eat hundr leav day protect releas horri ble stench antenna head drive away enemi caterpi voraci appetit devour leav bigger bodi right eye antenna pokemon releas terrif strong odor releas stench red antenna repel enemi grow molt repeat caterpi voraci appetit devour leav bigger bodi right eye antenna pokemon releas terrif strong odor
